#V3.30
#C data file created using the SS_writedat function in the R package r4ss
#C should work with SS version: 
#C file write time: 2020-10-27 11:29:25
#
1964 #_styr
2024 #_endyr
1 #_nseas
12 #_months_per_seas
2 #_Nsubseasons
1 #_spawn_month
2 #_Ngenders
21 #_Nages
1 #_N_areas
2 #_Nfleets
#_fleetinfo
#_type	surveytiming	area	units	need_catch_mult	fleetname
1	-1.0	1	1	0	Fishery	#_1
3	 0.5	1	2	0	Survey 	#_2
#_Catch data
#_year	season	fleet	catch	catch_se
 -999	1	1	11659.00	0.01	#_1         
2019	1	1	15880	0.01
2020	1	1	9392	0.01
2021	1	1	10260	0.01
2022	1	1	14690	0.01
2023	1	1	8988	0.01
2024	1	1	11125	0.01
-9999	0	0	    0.00	0.00	#_terminator
#_CPUE_and_surveyabundance_observations
#_Units:  0=numbers; 1=biomass; 2=F; >=30 for special types
#_Errtype:  -1=normal; 0=lognormal; >0=T
#_SD_Report: 0=no sdreport; 1=enable sdreport
#_Fleet	Units	Errtype	SD_Report
1	1	0	0	#_Fishery
2	1	0	0	#_Survey 
#
#_CPUE_data
#_year	seas	index	obs	se_log
1982	7	2	197759	0.08596
1983	7	2	277331	0.09726
1984	7	2	291972	0.08061
1985	7	2	271890	0.0707
1986	7	2	364713	0.08576
1987	7	2	400742	0.09194
1988	7	2	569867	0.08506
1989	7	2	528806	0.08202
1990	7	2	601534	0.08784
1991	7	2	552288	0.07603
1992	7	2	626382	0.10299
1993	7	2	616911	0.07039
1994	7	2	699446	0.06877
1995	7	2	603642	0.08688
1996	7	2	625889	0.08906
1997	7	2	794426	0.20753
1998	7	2	692722	0.20026
1999	7	2	408611	0.08621
2000	7	2	401106	0.08573
2001	7	2	523303	0.1025
2002	7	2	562073	0.17351
2003	7	2	523393	0.10266
2004	7	2	624805	0.08355
2005	7	2	621858	0.08427
2006	7	2	643731	0.09191
2007	7	2	571325	0.09028
2008	7	2	553787	0.13942
2009	7	2	426509	0.1152
2010	7	2	506197	0.14483
2011	7	2	593207	0.1818
2012	7	2	386892	0.11363
2013	7	2	499449	0.16772
2014	7	2	532889	0.13339
2015	7	2	400761	0.10972
2016	7	2	452785	0.06954
2017	7	2	549526	0.07767
2018	7	2	494579	0.07558
2019	7	2	603874	0.14075
2021	7	2	669293	0.11322
2022	7	2	710804	0.18103
2023	7	2	604283	0.16037
2024	7	2	730523	0.12775
-9999	0	0	     0	0.00000	#_terminator
0 #_N_discard_fleets
#_discard_units (1=same_as_catchunits(bio/num); 2=fraction; 3=numbers)
#_discard_errtype:  >0 for DF of T-dist(read CV below); 0 for normal with CV; -1 for normal with se; -2 for lognormal
#
#_discard_fleet_info
#
#_discard_data
#
#_meanbodywt
0 #_use_meanbodywt
 #_DF_for_meanbodywt_T-distribution_like
#
#_population_length_bins
2 # length bin method: 1=use databins; 2=generate from binwidth,min,max below; 3=read vector
2 # binwidth for population size comp
6 # minimum size in the population (lower edge of first bin and size at age 0.00)
58 # maximum size in the population (lower edge of last bin)
1 #_use_lencomp
#
#_len_info
#_mintailcomp	addtocomp	combine_M_F	CompressBins	CompError	ParmSelect	minsamplesize
-1	1e-05	0	0	0	0	0.001	#_Fishery
-1	1e-05	0	0	0	0	0.001	#_Survey 
24 #_N_lbins
#_lbin_vector
6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 43 46 49 52 55 58 #_lbin_vector
#
#_lencomp
#_Yr	Seas	FltSvy	Gender	Part	Nsamp	f6	f8	f10	f12	f14	f16	f18	f20	f22	f24	f26	f28	f30	f32	f34	f36	f38	f40	f43	f46	f49	f52	f55	f58	m6	m8	m10	m12	m14	m16	m18	m20	m22	m24	m26	m28	m30	m32	m34	m36	m38	m40	m43	m46	m49	m52	m55	m58
1982	7	2	3	0	1347.562883	0	0	0.001097355	0.015027626	0.021686995	0.017676511	0.026212046	0.041896937	0.043239731	0.043025438	0.047710837	0.059986005	0.063299321	0.049618597	0.029486428	0.012086106	0.006034799	0.007790126	0.001487534	0.000350243	0	0	0	0	0.000240215	0.000264332	0.001282541	0.017419975	0.027502346	0.024938139	0.030050566	0.041658202	0.049187948	0.056785003	0.075637029	0.080976263	0.065139182	0.028247591	0.00930292	0.002755237	0.000528737	0.000371137	0	0	0	0	0	0
1983	7	2	3	0	1518.404926	0	0.000316212	0.008515375	0.027043109	0.017573331	0.030466759	0.038993311	0.037528442	0.031147424	0.035238633	0.037936251	0.041686235	0.050609166	0.05113832	0.046080868	0.021574524	0.010952151	0.006092833	0.001148719	0.000347759	0	0	0	0	0.00032203	0.000992193	0.011776595	0.034805728	0.019841033	0.035140988	0.047114633	0.040469633	0.035576532	0.039892902	0.05076409	0.061996021	0.060370182	0.042944784	0.017531384	0.004966247	0.001013437	9.22E-05	0	0	0	0	0	0
1984	7	2	3	0	1497.377255	0	0.000258644	0.003660371	0.019390853	0.034008387	0.048751095	0.035948886	0.032478662	0.039505324	0.038886395	0.037947369	0.042969788	0.043598565	0.04112167	0.040176749	0.025852664	0.012157372	0.006642969	0.000698628	0.000501948	1.26E-05	0	0	0	0.000449593	0.000795847	0.00627023	0.017878248	0.033021678	0.056106842	0.041152411	0.038227404	0.044839772	0.041946137	0.045437262	0.052983828	0.052303742	0.039052752	0.018484574	0.00429886	0.002051331	6.35E-05	0	6.70E-05	0	0	0	0
1985	7	2	3	0	1972.685782	0	0.000896726	0.000828255	0.004992015	0.014873906	0.023454608	0.038155456	0.058144067	0.050387914	0.036708543	0.03576806	0.039557345	0.040173885	0.040226475	0.036181198	0.022595703	0.016129352	0.010165167	0.003118109	0.000746892	0	0	0	0	2.67E-05	0.002014012	0.002940058	0.005340228	0.015623949	0.029200674	0.044547727	0.06361591	0.05592632	0.042784781	0.052906506	0.057466626	0.062913923	0.047726241	0.029877553	0.01089344	0.002500716	0.00059095	0	0	0	0	0	0
1986	7	2	3	0	1611.618359	0	0.000334071	0.002364471	0.00834287	0.00833421	0.010544024	0.019420734	0.030760319	0.043320129	0.050876795	0.044962058	0.040911582	0.046240439	0.047027372	0.048198167	0.035649642	0.026688104	0.020632121	0.004873007	0.00140165	0.000128004	0	0	0	0.000327023	0.000560786	0.004976651	0.016180578	0.011165772	0.014045111	0.02559786	0.04405068	0.050027656	0.057063826	0.057958926	0.048203377	0.061222828	0.062351949	0.034712718	0.014518275	0.004821722	0.001124987	7.95E-05	0	0	0	0	0
1987	7	2	3	0	1728.684597	0	0	0.002171193	0.010342328	0.01486138	0.021643167	0.021659077	0.027654486	0.026836773	0.034665477	0.042027257	0.044771833	0.046139935	0.044477536	0.049458146	0.037414332	0.029427265	0.022794895	0.009007373	0.001813979	6.82E-05	0	0	0	3.72E-05	0.000129589	0.003896861	0.013885295	0.015133375	0.025811874	0.026250536	0.033175909	0.039322295	0.05018534	0.04975647	0.05855726	0.064951017	0.064198676	0.036232432	0.018913293	0.009830355	0.00249752	0	0	0	0	0	0
1988	7	2	3	0	1559.98589	0	0	0.001150741	0.008436094	0.030833312	0.038955193	0.033311828	0.03969867	0.026607611	0.027829506	0.030178293	0.033071787	0.033886873	0.044777217	0.045018586	0.042120533	0.030409418	0.028494764	0.0117963	0.001568411	0.000605416	0	0	0	0.000255068	0.000771937	0.002357828	0.013402955	0.032961435	0.044081643	0.029583451	0.033061887	0.027743665	0.030824525	0.03360575	0.03881651	0.052342069	0.062721193	0.05476252	0.023445626	0.008046134	0.002349632	0.000115616	0	0	0	0	0
1989	7	2	3	0	1056.399157	0	3.30E-05	0.007016955	0.019726897	0.011953774	0.015887626	0.043823854	0.042082961	0.044513278	0.031235518	0.025134539	0.029189813	0.033945402	0.030167334	0.038008588	0.040011218	0.029442714	0.029425427	0.012244856	0.003629426	0.000372361	0	0	0	0	0.000679036	0.00749639	0.032269012	0.018372762	0.017861789	0.056321638	0.044420804	0.045797091	0.032182825	0.033817304	0.034400028	0.034707372	0.058982229	0.058456487	0.026857429	0.008158042	0.001374195	0	0	0	0	0	0
1990	7	2	3	0	1920.62059	0	6.68E-05	0.00086565	0.005831846	0.025997099	0.030551931	0.01988879	0.026585788	0.03544722	0.035118172	0.031726234	0.028238425	0.026097812	0.032854577	0.030957552	0.036043075	0.035159445	0.040821432	0.017847621	0.00510725	0.001086794	0	0	0	0	0.000558076	0.00201407	0.007423412	0.03226608	0.033273191	0.027053968	0.039454193	0.047807767	0.04267137	0.041611303	0.042741864	0.048653423	0.061427657	0.059857644	0.03152705	0.01268416	0.002450348	0.000230923	0	0	0	0	0
1991	7	2	3	0	689.0974773	0	0.000327846	0.001978643	0.001982398	0.00306416	0.013628522	0.029193016	0.039719307	0.036805452	0.038733014	0.036406233	0.033480228	0.02674095	0.031471447	0.037388555	0.03311953	0.047866811	0.056887527	0.020462732	0.00669013	0.000436986	0	0	0	0.00011711	0.000215485	0.0049219	0.003750031	0.004555168	0.020618003	0.039678614	0.054852061	0.051939928	0.049238256	0.049472796	0.040841719	0.046009238	0.043504144	0.048896699	0.032964051	0.009660612	0.00216365	0.000204	1.30E-05	0	0	0	0
1992	7	2	3	0	1004.000466	0	0	0.001464348	0.011122565	0.020146169	0.015868758	0.018106621	0.027611599	0.036935876	0.04395773	0.040407031	0.040628849	0.02951922	0.028204349	0.031127445	0.032062141	0.031140497	0.03630572	0.019697583	0.00620552	0.000936128	4.78E-05	0	0	0	7.73E-06	0.001139196	0.015978859	0.027312907	0.017197627	0.018188823	0.034614413	0.04953111	0.061682725	0.054975181	0.045458352	0.047831386	0.052249622	0.052907495	0.034437181	0.012298287	0.002504774	0.000114741	9.74E-06	6.40E-05	0	0	0
1993	7	2	3	0	1862.642435	2.02E-05	0.000250067	0.002205565	0.004262756	0.008145875	0.021917746	0.024831883	0.018168413	0.028672559	0.038644582	0.03980757	0.045560839	0.044397686	0.036304505	0.032239049	0.029887595	0.026561058	0.044260598	0.023070611	0.00741708	0.001347098	4.29E-05	0	0	0	0.00040922	0.003119075	0.005808102	0.008135992	0.025976794	0.02655629	0.024603234	0.031009422	0.049399938	0.06322509	0.063617999	0.056353127	0.059963867	0.055368299	0.032379264	0.012568228	0.003378967	0.000110845	0	0	0	0	0
1994	7	2	3	0	1929.122436	0	0.000164417	0.00092088	0.005372409	0.012467435	0.018675736	0.026629048	0.022030112	0.017679566	0.028540477	0.036309188	0.042406705	0.044433338	0.039840865	0.034733399	0.029231742	0.030758431	0.040769484	0.028535129	0.010418837	0.001469046	0.000129105	5.90E-05	0	0	0.000342212	0.00190836	0.008025734	0.017299641	0.026297132	0.035340552	0.030202831	0.026348896	0.036508861	0.050680894	0.057517188	0.062862564	0.062061381	0.058040614	0.038561104	0.012884048	0.003382234	0.000161409	0	0	0	0	0
1995	7	2	3	0	1727.150932	0	0	0.000578623	0.002558378	0.007711485	0.015021639	0.018998049	0.026967301	0.025082352	0.023596298	0.029530141	0.038379295	0.04686059	0.043978948	0.0389751	0.032879461	0.029956887	0.035781255	0.026305547	0.008636398	0.002878196	0.000129913	0	0	0	5.98E-05	0.001017666	0.003701888	0.009244763	0.01705266	0.021769314	0.03023354	0.035069818	0.032799303	0.053618899	0.067709026	0.078308741	0.071772039	0.062248924	0.038151296	0.016634294	0.005472464	0.00025647	7.33E-05	0	0	0	0
1996	7	2	3	0	1651.677472	0	9.74E-05	0.001424171	0.008928065	0.013137209	0.019188342	0.020285656	0.02688309	0.02716304	0.03052648	0.029822142	0.029781959	0.034762715	0.040989525	0.043471773	0.038085826	0.024410373	0.034581314	0.024902111	0.011345365	0.001523567	0.00013309	0	0	3.14E-05	0.000282683	0.001508542	0.009413368	0.017671802	0.015933404	0.025620852	0.032202341	0.035049107	0.036626243	0.042190335	0.055284886	0.066545677	0.070248747	0.065983152	0.041220083	0.016300754	0.005952578	0.000476039	0	0	1.48E-05	0	0
1997	7	2	3	0	863.6551723	0	0.000234189	0.000749396	0.003090078	0.006709096	0.010310225	0.012971105	0.015825004	0.01744184	0.020726065	0.027253774	0.02921907	0.037197278	0.043989773	0.052260475	0.050569543	0.045400842	0.061302225	0.051831374	0.015881467	0.003849903	0.000307011	0	0	2.95E-05	0.000213428	0.0013606	0.004838644	0.005937808	0.01129696	0.014143992	0.018801692	0.025313561	0.031744959	0.035138784	0.043934128	0.068582138	0.073170897	0.07005698	0.049147305	0.025644085	0.011506379	0.001135121	0.000883296	0	0	0	0
1998	7	2	3	0	1251.929407	0	0.000291463	0.00649006	0.01198638	0.00534528	0.009943337	0.013755633	0.018769243	0.019166279	0.020889426	0.026892694	0.033555023	0.029364786	0.03716455	0.046202864	0.043999333	0.040073667	0.04393271	0.029243903	0.012526592	0.005740532	0.000697055	0	0	3.12E-05	0.000636861	0.008690741	0.017385043	0.008694222	0.012934054	0.014330423	0.018303622	0.022807036	0.033611672	0.038210071	0.046023622	0.067831865	0.080901272	0.079861917	0.054271596	0.030435351	0.007467837	0.001320496	0.000220318	0	0	0	0
1999	7	2	3	0	2040.853243	0	0.000120845	0.001807074	0.004836213	0.01218891	0.012821501	0.011938123	0.016579028	0.023227805	0.027189519	0.032483874	0.030948815	0.035064142	0.039848057	0.052061684	0.04872054	0.037228351	0.035562323	0.023763424	0.012966731	0.006573297	0.000806014	0.000148753	0	0	0.000165511	0.002160699	0.005661424	0.0168732	0.012823706	0.014420154	0.024061381	0.025664471	0.040057892	0.049401579	0.055569057	0.066669396	0.08314973	0.070106491	0.038332882	0.017754061	0.009277026	0.00088542	8.09E-05	0	0	0	0
2000	7	2	3	0	2066.681532	0.000218261	0.000325678	0.0014186	0.004147734	0.00740095	0.014031964	0.014019092	0.016974786	0.016156006	0.023642969	0.029005157	0.031396218	0.041731184	0.048199411	0.052278521	0.056682988	0.041617353	0.043338296	0.024931351	0.011029588	0.003761878	0.000454618	0	0	5.33E-05	0.000285631	0.004434203	0.006274262	0.00903157	0.019182135	0.017414759	0.020204009	0.022858423	0.035199365	0.052667673	0.053817406	0.073620467	0.074073623	0.062614555	0.041807051	0.016412205	0.006529607	0.00051226	0.000215908	2.90E-05	0	0	0
2001	7	2	3	0	1672.184234	7.68E-05	0.000256306	0.001967887	0.003101445	0.005268918	0.009214608	0.017444218	0.027638751	0.028631146	0.023054171	0.023393667	0.035380431	0.039182283	0.046052028	0.051730413	0.048841247	0.034899875	0.037236044	0.023662181	0.011639093	0.002657947	0.000535539	0	4.36E-05	5.59E-05	0.000412384	0.003058984	0.003986809	0.010422965	0.012602816	0.022650049	0.038617082	0.036203886	0.02775328	0.035936411	0.059703276	0.073461413	0.07546247	0.064587146	0.036756101	0.018869722	0.006019992	0.001161399	0.000346925	1.12E-05	1.12E-05	0	0
2002	7	2	3	0	1067.386085	0.000121985	0.00038424	0.001231585	0.002783157	0.007041437	0.009296169	0.011192038	0.016505534	0.023666915	0.026093145	0.026286814	0.030827329	0.033125284	0.046503964	0.052369451	0.042878895	0.038949193	0.043255793	0.034689497	0.028626508	0.015741438	0.0032959	0	0.000600671	4.50E-05	0.000311296	0.001226189	0.003940464	0.008486241	0.011566482	0.013907177	0.022681691	0.036110816	0.037690201	0.038083027	0.047682124	0.069403311	0.074239393	0.069516984	0.041314406	0.016915276	0.008089815	0.001327536	0.001984633	1.10E-05	0	0	0
2003	7	2	3	0	1720.543235	0.000292523	0	0.001183936	0.005918597	0.00710185	0.009042605	0.011640999	0.015844341	0.018807711	0.027365969	0.03792213	0.044773103	0.041657582	0.045325433	0.048022512	0.036796111	0.039600836	0.048044834	0.026782395	0.007040483	0.001540684	0.000105229	3.34E-05	0	0	0.000353986	0.002657751	0.006702155	0.007794371	0.014403604	0.017876247	0.019692394	0.02723105	0.044285516	0.054625578	0.066453493	0.073058762	0.063644494	0.05648454	0.041912881	0.020956558	0.00555082	0.001397042	5.72E-05	0	0	1.83E-05	0
2004	7	2	3	0	2378.711348	3.68E-05	0.000332624	0.001380585	0.003016638	0.009511177	0.018107171	0.019443953	0.019262602	0.020887553	0.023216093	0.028499639	0.038316551	0.044340753	0.044621771	0.038684477	0.040737784	0.028728077	0.042110292	0.031808909	0.016886547	0.003899691	0.000109396	0	0	4.54E-05	0.000216643	0.001243632	0.004717779	0.010977525	0.017765481	0.025385252	0.022077363	0.026416672	0.031867912	0.043285186	0.0644042	0.073533107	0.067503137	0.06310743	0.039342869	0.024543269	0.008693921	0.000896434	0	3.77E-05	0	0	0
2005	7	2	3	0	2222.370382	2.24E-05	0.000322262	0.002964482	0.009915032	0.011653261	0.017177778	0.023031067	0.02486328	0.024866032	0.026416475	0.031226322	0.033813471	0.039485301	0.044077449	0.045015924	0.037110524	0.026123307	0.034096171	0.030706852	0.017491794	0.005941221	0.000566629	0	0	0	0.000614178	0.004325339	0.012145032	0.014187299	0.018449607	0.024908593	0.029155722	0.030219696	0.030472461	0.043414149	0.058142278	0.070712509	0.066134064	0.052050002	0.03155428	0.017280057	0.007679466	0.000800955	0.000454855	0.000412393	0	0	0
2006	7	2	3	0	2684.168369	0.000315238	0.000307292	0.000747589	0.004485382	0.012486871	0.021335074	0.026090898	0.02854236	0.022267706	0.0254237	0.031871373	0.034030252	0.03975619	0.043956665	0.044663737	0.037470423	0.029612764	0.036170949	0.024544899	0.013888581	0.002674602	0.000404267	0	0	0.000312162	0.000185857	0.000950445	0.006060045	0.015864372	0.024526934	0.028581229	0.031058833	0.02818163	0.031743285	0.038985783	0.052601242	0.063334566	0.071757427	0.057486148	0.038005587	0.019620643	0.00847211	0.001079861	0.000100177	0	0	4.49E-05	0
2007	7	2	3	0	1999.055893	5.89E-05	0.000922614	0.002199579	0.003762127	0.004230766	0.010267586	0.021263855	0.037679217	0.035644974	0.030926458	0.03429538	0.033663769	0.03847738	0.043101296	0.048475233	0.042003553	0.03069603	0.038033027	0.029090753	0.014861341	0.003149954	0.000367214	0	0	0	0.001383916	0.001953872	0.003086845	0.00475953	0.011340398	0.026006436	0.03985069	0.03941183	0.039742116	0.04355657	0.047976481	0.06190543	0.062531243	0.052302755	0.033309673	0.018267902	0.008610177	0.000781876	5.12E-05	0	0	0	0
2008	7	2	3	0	1625.718014	6.38E-05	0.000153539	0.001811653	0.004517498	0.00531944	0.007978083	0.008314613	0.013230294	0.025100895	0.035738246	0.040140452	0.039190292	0.046438895	0.048472045	0.05155795	0.04734424	0.030082241	0.032381734	0.016573952	0.009488008	0.002737678	0.000182394	0	0	0	0.000565139	0.002771007	0.007391769	0.008155312	0.008923741	0.010211634	0.01727545	0.029586409	0.047167404	0.053059279	0.05515448	0.070866008	0.085808763	0.070097812	0.034244134	0.023653716	0.007387627	0.000571269	0.000155059	0.000136031	0	0	0
2009	7	2	3	0	1975.856202	0	6.65E-05	0.000975956	0.003075067	0.009709288	0.009100538	0.013386682	0.012895211	0.017096071	0.023516235	0.039718457	0.058027342	0.05252182	0.052574654	0.052034116	0.042999457	0.035659753	0.029850617	0.020838891	0.008748111	0.002746275	0.000318899	0	0	0.000152668	0.001033387	0.001762504	0.005038744	0.009731963	0.011454425	0.014370456	0.019449903	0.020356434	0.03366766	0.058460115	0.070243403	0.068655529	0.073789594	0.060194208	0.035671494	0.019711476	0.009295211	0.000760997	0.000339846	0	0	0	0
2010	7	2	3	0	1206.98243	0	0.000177283	0.001455053	0.010596137	0.012218809	0.015674757	0.016624012	0.015381852	0.016840631	0.020672619	0.022151592	0.040558704	0.05702609	0.051488247	0.045026088	0.040525334	0.02961329	0.028995146	0.01476705	0.006875888	0.001877532	0.000142582	0	0	0.000122837	6.15E-05	0.001636229	0.010269758	0.010740998	0.017621281	0.024775765	0.01624458	0.018921781	0.028611786	0.035929409	0.064452995	0.085432953	0.077262448	0.071240997	0.047933776	0.028163031	0.011486353	0.000164522	1.90E-05	0.000166998	5.23E-05	0	0
2011	7	2	3	0	835.7577539	0	3.01E-05	0.001705481	0.011050613	0.010864707	0.028174813	0.021483454	0.022477188	0.015615651	0.02132178	0.024435311	0.030573526	0.041150109	0.048745561	0.052764389	0.037306679	0.030291119	0.046149685	0.029885122	0.01851939	0.00451748	0.001242819	0	0	0	7.54E-05	0.00340283	0.014133219	0.015247984	0.032690414	0.026644191	0.024703419	0.020670489	0.018498131	0.028967561	0.051446942	0.067860972	0.073792814	0.053235666	0.033291259	0.024590836	0.011441409	0.000954192	0	0	4.73E-05	0	0
2012	7	2	3	0	1332.309679	0.000114296	0.000101992	0.001377964	0.002902211	0.010527434	0.015328621	0.026465561	0.022283032	0.021751385	0.021905083	0.023861799	0.029360336	0.045496593	0.063812857	0.057914618	0.04555547	0.036876626	0.036630808	0.015800194	0.009778124	0.001682103	0.000143174	0	0	0.000125629	0.00030754	0.001985556	0.00406489	0.007403511	0.015357884	0.026181242	0.02444756	0.028647982	0.022751301	0.028907739	0.058605389	0.082256465	0.090130208	0.056753438	0.035456034	0.017267007	0.008470251	0.000890622	0.000285168	3.43E-05	0	0	0
2013	7	2	3	0	872.6463468	0.000136467	0.000649492	0.001008772	0.002857863	0.005743395	0.01072337	0.023648557	0.023993977	0.027449102	0.028887146	0.01988738	0.021436718	0.034889232	0.041992852	0.054868609	0.050543252	0.039319362	0.050891882	0.026164571	0.012447027	0.002130619	0.000578477	4.86E-05	0	0	0.00071712	0.001720264	0.003266607	0.007724465	0.013695381	0.025308361	0.029586307	0.031618698	0.035303432	0.029493833	0.038647663	0.058631892	0.071601586	0.067520165	0.058485689	0.029527369	0.015427313	0.001427144	0	0	0	0	0
2014	7	2	3	0	860.7491207	0	0.000113003	0.001428741	0.011901701	0.028526303	0.021917121	0.016268216	0.0209332	0.021694682	0.020719335	0.025223368	0.023350271	0.029154313	0.031471435	0.047673374	0.052301261	0.035934322	0.036659541	0.018628451	0.00804951	0.003451511	0.000462144	0	5.92E-05	4.91E-05	0.000131134	0.00128435	0.018050458	0.040343851	0.025479184	0.021527995	0.021866559	0.03247178	0.037885758	0.034959364	0.036186236	0.044907964	0.068049806	0.08084164	0.045454333	0.024094016	0.009457467	0.001037964	0	0	0	0	0
2015	7	2	3	0	1273.822092	0.000145886	0.000635758	0.002322627	0.004944918	0.015448904	0.032851085	0.03143561	0.031534848	0.032989907	0.033073902	0.024752819	0.027038401	0.027067267	0.028541793	0.038680979	0.042402982	0.033565453	0.038606017	0.022316329	0.011441696	0.004673157	0.000631728	0	6.04E-05	0.000164758	0.001079544	0.002475788	0.005344121	0.016931137	0.033200425	0.034431967	0.02971514	0.032150591	0.033849167	0.042377056	0.039307	0.04505863	0.053310815	0.061368166	0.043919221	0.025439053	0.012968389	0.001581612	0.000164979	0	0	0	0
2016	7	2	3	0	2226.857099	5.02E-05	0.000216734	0.002002502	0.009155604	0.018676515	0.023986344	0.029436126	0.036388924	0.036129747	0.044554561	0.042013314	0.03467007	0.03159836	0.029045021	0.030325188	0.030474866	0.028236767	0.03280495	0.027129103	0.011685975	0.005815638	0.000753469	0	0	4.52E-05	0.000666097	0.002806942	0.009804247	0.020605883	0.024530589	0.034165399	0.039879669	0.041086007	0.043466672	0.043534807	0.039509429	0.034408151	0.04402392	0.049595816	0.036022483	0.019856262	0.009387196	0.001223237	0.000195165	3.68E-05	0	0	0
2017	7	2	3	0	2321.088706	0.000198128	0.000808172	0.00379305	0.010326852	0.019695073	0.029184161	0.03077087	0.037346925	0.040387193	0.038954684	0.036946197	0.037655388	0.03188647	0.028657358	0.02864025	0.026323745	0.018181671	0.023071079	0.021588821	0.01387929	0.005903399	0.00123417	5.68E-05	0.000253066	0.000216453	0.001754106	0.006240923	0.010777177	0.016228529	0.03279336	0.036714349	0.03849047	0.04267078	0.043889134	0.050328441	0.047478147	0.044889452	0.042182824	0.038951748	0.028285818	0.018289738	0.012015751	0.001809765	0.000250214	0	0	0	0
2018	7	2	3	0	2094.467441	0	0.000196612	0.002438182	0.014259754	0.027271264	0.03164976	0.033301637	0.033607077	0.040524068	0.038929086	0.041769652	0.037116248	0.041275054	0.034326672	0.028754068	0.025213465	0.017613087	0.016771925	0.013419441	0.010317022	0.003873139	0.000972598	0	0	0.000108263	0.000231616	0.004005164	0.013301233	0.03363414	0.032279385	0.038030273	0.039307946	0.046304563	0.048002567	0.045768738	0.04374097	0.04869301	0.038122903	0.034824927	0.019551339	0.011486052	0.007722655	0.001226647	5.78E-05	0	0	0	0
2019	7	2	3	0	1672.785518	0	5.36E-05	0.000503912	0.004094119	0.012476745	0.025727254	0.041051768	0.036063052	0.030226221	0.028920146	0.032062526	0.034927901	0.039251512	0.044640934	0.038891155	0.026490132	0.019978177	0.025823325	0.027867911	0.016911264	0.006557695	0.001067207	0	4.68E-05	0	9.52E-05	0.000712162	0.004902279	0.014471441	0.035426267	0.048129186	0.039643292	0.033294512	0.036386506	0.039562312	0.048023253	0.054591442	0.046947379	0.034944028	0.028971153	0.021627746	0.016280531	0.002298271	5.97E-05	0	0	0	0
2021	7	2	3	0	1887.611447	0	1.28E-05	0.000610167	0.00359151	0.014740992	0.020163369	0.022516743	0.030840803	0.043152106	0.03860645	0.038023826	0.033635876	0.033879327	0.043023767	0.043529346	0.029225335	0.023980448	0.020314249	0.016194623	0.012841477	0.004473764	0.000492343	0	0	1.34E-05	0.000138098	0.001720154	0.006375493	0.023522875	0.028361456	0.029735387	0.043254782	0.051404171	0.052302093	0.046945941	0.046105016	0.053847078	0.052550015	0.032331419	0.024447689	0.017837966	0.012687001	0.002309665	0.000183058	5.41E-05	2.39E-05	0	0
