"TONS","ZONE","GEAR","TYPE","YEAR","SPECIES_GROUP","GEAR1"
2.3685525,"AI","TRW","R",2011,"FSOL","TRW"
0.519048697,"BS","HAL","R",2011,"FSOL","LONGLINE"
334.8516447921,"BS","HAL","D",2011,"FSOL","LONGLINE"
0.0487088514,"BS","POT","D",2011,"FSOL","POT"
0.2748769762,"BS","POT","R",2011,"FSOL","POT"
1476.931518466,"BS","TRW","D",2011,"FSOL","TRW"
11738.6994367321,"BS","TRW","R",2011,"FSOL","TRW"
0.032721,"AI","HAL","R",2012,"FSOL","LONGLINE"
1.0325276281,"AI","HAL","D",2012,"FSOL","LONGLINE"
2.9755397972,"AI","TRW","R",2012,"FSOL","TRW"
7.6991124577,"AI","TRW","D",2012,"FSOL","TRW"
300.3410115852,"BS","HAL","D",2012,"FSOL","LONGLINE"
3.7526121755,"BS","HAL","R",2012,"FSOL","LONGLINE"
0.092267543,"BS","POT","D",2012,"FSOL","POT"
0.3202362131,"BS","POT","R",2012,"FSOL","POT"
1434.9427761215,"BS","TRW","D",2012,"FSOL","TRW"
9616.3481849069,"BS","TRW","R",2012,"FSOL","TRW"
0.0572193051,"AI","HAL","D",2013,"FSOL","LONGLINE"
0.000100253,"AI","POT","D",2013,"FSOL","POT"
5.5136127,"AI","TRW","R",2013,"FSOL","TRW"
4.941640467,"AI","TRW","D",2013,"FSOL","TRW"
0.6369497264,"BS","HAL","R",2013,"FSOL","LONGLINE"
376.6085042031,"BS","HAL","D",2013,"FSOL","LONGLINE"
0.1039096805,"BS","POT","R",2013,"FSOL","POT"
0.1797929819,"BS","POT","D",2013,"FSOL","POT"
1176.292926333,"BS","TRW","D",2013,"FSOL","TRW"
15790.4515826306,"BS","TRW","R",2013,"FSOL","TRW"
0.0110416884,"AI","HAL","D",2014,"FSOL","LONGLINE"
2.8433955289,"AI","TRW","D",2014,"FSOL","TRW"
5.8210738399,"AI","TRW","R",2014,"FSOL","TRW"
15.5606038928,"BS","HAL","R",2014,"FSOL","LONGLINE"
549.9629006655,"BS","HAL","D",2014,"FSOL","LONGLINE"
0.0408233132,"BS","POT","R",2014,"FSOL","POT"
0.0712949405,"BS","POT","D",2014,"FSOL","POT"
15108.8555367636,"BS","TRW","R",2014,"FSOL","TRW"
829.1004658988,"BS","TRW","D",2014,"FSOL","TRW"
0.1165084367,"AI","HAL","D",2015,"FSOL","LONGLINE"
5.3949322,"AI","TRW","D",2015,"FSOL","TRW"
8.4386078,"AI","TRW","R",2015,"FSOL","TRW"
488.7418409734,"BS","HAL","D",2015,"FSOL","LONGLINE"
4.432622395,"BS","HAL","R",2015,"FSOL","LONGLINE"
0.2245282229,"BS","POT","R",2015,"FSOL","POT"
0.1177816393,"BS","POT","D",2015,"FSOL","POT"
10066.6898102313,"BS","TRW","R",2015,"FSOL","TRW"
733.3752916199,"BS","TRW","D",2015,"FSOL","TRW"
0.3601477246,"AI","HAL","D",2016,"FSOL","LONGLINE"
15.7549868874,"AI","TRW","D",2016,"FSOL","TRW"
9.6397294,"AI","TRW","R",2016,"FSOL","TRW"
485.6781448172,"BS","HAL","D",2016,"FSOL","LONGLINE"
0.9046085899,"BS","POT","D",2016,"FSOL","POT"
1.0927040192,"BS","POT","R",2016,"FSOL","POT"
9011.6530513785,"BS","TRW","R",2016,"FSOL","TRW"
787.9031287352,"BS","TRW","D",2016,"FSOL","TRW"
1.2560044984,"AI","HAL","D",2017,"FSOL","LONGLINE"
12.3813644,"AI","TRW","R",2017,"FSOL","TRW"
5.5914242667,"AI","TRW","D",2017,"FSOL","TRW"
7.0390851497,"BS","HAL","R",2017,"FSOL","LONGLINE"
549.2145096094,"BS","HAL","D",2017,"FSOL","LONGLINE"
0.8076979388,"BS","POT","D",2017,"FSOL","POT"
0.6891734355,"BS","POT","R",2017,"FSOL","POT"
8093.1737552709,"BS","TRW","R",2017,"FSOL","TRW"
440.7471093675,"BS","TRW","D",2017,"FSOL","TRW"
3.3151393651,"AI","HAL","D",2018,"FSOL","LONGLINE"
0.0095429147,"AI","POT","D",2018,"FSOL","POT"
5.6106311556,"AI","TRW","D",2018,"FSOL","TRW"
7.8171680217,"AI","TRW","R",2018,"FSOL","TRW"
35.4050152529,"BS","HAL","R",2018,"FSOL","LONGLINE"
378.6955767871,"BS","HAL","D",2018,"FSOL","LONGLINE"
1.2975009744,"BS","POT","R",2018,"FSOL","POT"
0.0886597238,"BS","POT","D",2018,"FSOL","POT"
10172.4015988508,"BS","TRW","R",2018,"FSOL","TRW"
402.0107773856,"BS","TRW","D",2018,"FSOL","TRW"
0.0621859682,"AI","HAL","R",2019,"FSOL","LONGLINE"
0.3636211145,"AI","HAL","D",2019,"FSOL","LONGLINE"
0.0362262733,"AI","POT","D",2019,"FSOL","POT"
14.765224679,"AI","TRW","D",2019,"FSOL","TRW"
12.0533169536,"AI","TRW","R",2019,"FSOL","TRW"
5.8419508311,"BS","HAL","R",2019,"FSOL","LONGLINE"
511.301668364,"BS","HAL","D",2019,"FSOL","LONGLINE"
0.8046163033,"BS","POT","D",2019,"FSOL","POT"
2.6929779004,"BS","POT","R",2019,"FSOL","POT"
14885.3796304174,"BS","TRW","R",2019,"FSOL","TRW"
446.6739426054,"BS","TRW","D",2019,"FSOL","TRW"
2.8119670335,"AI","HAL","D",2020,"FSOL","LONGLINE"
0.039286698,"AI","POT","D",2020,"FSOL","POT"
0.0072574779,"AI","POT","R",2020,"FSOL","POT"
10.0098711088,"AI","TRW","R",2020,"FSOL","TRW"
10.3192057501,"AI","TRW","D",2020,"FSOL","TRW"
1.842928032,"BS","HAL","R",2020,"FSOL","LONGLINE"
478.105511811,"BS","HAL","D",2020,"FSOL","LONGLINE"
0.1701362622,"BS","POT","D",2020,"FSOL","POT"
3.0780778226,"BS","POT","R",2020,"FSOL","POT"
8314.0753737675,"BS","TRW","R",2020,"FSOL","TRW"
572.7880145236,"BS","TRW","D",2020,"FSOL","TRW"
