"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"3194",375811,429776,386839,331214,155728,141778,119578,122844,102584,96360,68359,29776,98494,29808,54386,27324,11149,12155,22023,9322,6365,13094
"3196",394265,307688,351869,316713,271157,127452,115911,97519,99775,82890,77435,54651,23697,78089,23559,42878,21500,8759,9537,17262,7301,15222
"3198",547844,322796,251912,288082,259284,221913,104181,94483,79128,80490,66458,61725,43342,18714,61452,18488,33574,16804,6836,7435,13446,17519
"3200",681358,448536,264282,206246,235846,212204,181424,84960,76736,63932,64674,53122,49114,34355,14787,48437,14543,26368,13181,5357,5822,24217
"3202",637543,557848,367229,216373,168850,193030,173512,148012,69058,62083,51467,51822,42391,39059,27245,11700,38256,11470,20772,10375,4213,23597
"3204",166946,521975,456726,300659,177142,138200,157853,141604,120389,55932,50056,41322,41452,33803,31066,21626,9272,30277,9068,16409,8190,21929
"3206",409825,136684,427356,373931,246142,144975,112976,128703,114956,97199,44896,39960,32829,32800,26659,24436,16974,7266,23694,7089,12817,23493
"3208",368806,335536,111907,349885,306129,201449,118524,92134,104531,92883,78104,35890,31799,26025,25921,21016,19225,13333,5700,18569,5551,28399
"3210",277859,301952,274712,91620,286440,250531,164662,96607,74749,84308,74446,62233,28449,25097,20468,20328,16444,15015,10399,4440,14453,26383
"3212",383007,227491,247216,224912,75006,234411,204756,134167,78323,60218,67463,59194,49209,22391,19678,15999,15851,12797,11667,8070,3443,31614
"3214",360507,313579,186253,202400,184123,61373,191471,166576,108428,62767,47830,53136,46281,38237,17311,15152,12279,12134,9777,8899,6148,26642
"3216",244865,295157,256736,152488,165697,150673,50153,155954,134948,87243,50139,37946,41904,36316,29881,13483,11771,9519,9391,7557,6871,25272
"3218",914414,200478,241653,210194,124836,135592,123118,40842,126292,108508,69624,39730,29883,32828,28329,23230,10454,9106,7351,7243,5822,24717
"3220",357226,748658,164137,197846,172082,102172,110866,100435,33191,102146,87317,55759,31685,23748,26014,22397,18332,8237,7167,5781,5691,23966
"3222",714649,292471,612948,134383,161975,140848,83558,90494,81721,26898,82428,70180,44658,25302,18918,20683,17780,14535,6525,5673,4573,23434
"3224",806706,585104,239454,501831,110015,132555,115117,68090,73381,65857,21534,65581,55533,35177,19856,14802,16144,13852,11306,5069,4403,21703
"3226",485471,660474,479041,196046,410834,90033,108343,93816,55224,59154,52746,17143,51928,43775,27628,15549,11564,12589,10786,8793,3939,20252
"3228",485471,397469,540748,392201,160500,336259,73625,88416,76302,44722,47687,42339,13709,41395,34806,21922,12317,9149,9949,8517,6939,19067
"3230",485471,397469,325419,442723,321091,131368,274998,60096,71940,61835,36089,38327,33909,10947,32976,27674,17403,9766,7247,7875,6737,20550
"3232",485471,397469,325419,266428,362455,262819,107448,224538,48930,58364,49975,29063,30768,27150,8746,26300,22041,13845,7763,5756,6252,21643
