
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
486575 194630 170301 549558 461868 185492 
CV Recruit
1.17461 
Alternative 1 Alternative  Stock: 2024-10-23-projection_data.dat
Catch 2024-10-23-projection_data.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2038  0 0.39806 0.491865 0.0586943 0.0586943 0.0586943 0.0586943 9.99201e-16 

Total_Biomass2024-10-23-projection_data.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2024 1.5471e+06 1.01763e+06 966955 782243 782243 782243 782243 1.15251e-08 
2025 1.5471e+06 1.01763e+06 966955 771764 786851 801418 876706 42001.8 
2026 1.5471e+06 1.01763e+06 966955 754718 805121 832021 998100 87171.8 
2027 1.5471e+06 1.01763e+06 966955 737152 839096 874735 1.13584e+06 137426 
2028 1.5471e+06 1.01763e+06 966955 718671 881979 924317 1.27486e+06 186469 
2029 1.5471e+06 1.01763e+06 966955 707833 926200 979689 1.41591e+06 234564 
2030 1.5471e+06 1.01763e+06 966955 700671 979331 1.03627e+06 1.5426e+06 278573 
2031 1.5471e+06 1.01763e+06 966955 711494 1.03628e+06 1.09128e+06 1.66415e+06 313560 
2032 1.5471e+06 1.01763e+06 966955 721466 1.07872e+06 1.14084e+06 1.74978e+06 340834 
2033 1.5471e+06 1.01763e+06 966955 722074 1.12239e+06 1.18493e+06 1.83673e+06 358973 
2034 1.5471e+06 1.01763e+06 966955 722645 1.16395e+06 1.22161e+06 1.87317e+06 371970 
2035 1.5471e+06 1.01763e+06 966955 737776 1.19705e+06 1.25248e+06 1.94358e+06 380932 
2036 1.5471e+06 1.01763e+06 966955 759121 1.2229e+06 1.27929e+06 1.98383e+06 384275 
2037 1.5471e+06 1.01763e+06 966955 777136 1.25002e+06 1.30099e+06 2.03379e+06 385242 
2038 1.5471e+06 1.01763e+06 966955 808250 1.25998e+06 1.32009e+06 2.06037e+06 383239 
Alternative 4 Alternative  Stock: 2024-10-23-projection_data.dat
Catch 2024-10-23-projection_data.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2024  0 83426.7 90758.3 11125 11125 11125 11125 5.45697e-11 
2025  0 83426.7 90758.3 11148 11148 11148 11148 2.4587e-06 
2026  0 83426.7 90758.3 11148 11148 11148 11148 7.70999e-05 
2027  0 83426.7 90758.3 21158.6 21253.5 21320.5 21694.2 204.623 
2028  0 83426.7 90758.3 20980.6 21302.9 21493.9 22585.5 611.582 
2029  0 83426.7 90758.3 20509 21327.1 21745.9 24233.8 1370.66 
